"Time","Temp","WindDir","WindSpeed"
"Wed Feb 01 19:00:00 CET 2012","-3.0","NE","5.0"
"Wed Feb 01 22:00:00 CET 2012","-4.0","NE","5.0"
"Thu Feb 02 01:00:00 CET 2012","-5.0","ENE","4.0"
"Thu Feb 02 04:00:00 CET 2012","-6.0","NE","4.0"
"Thu Feb 02 07:00:00 CET 2012","-7.0","ENE","5.0"
"Thu Feb 02 10:00:00 CET 2012","-7.0","ENE","5.0"
"Thu Feb 02 13:00:00 CET 2012","-4.0","NE","4.0"
"Thu Feb 02 19:00:00 CET 2012","-5.0","NE","3.0"
"Thu Feb 02 22:00:00 CET 2012","-6.0","NE","3.0"
"Fri Feb 03 01:00:00 CET 2012","-7.0","NE","3.0"
"Fri Feb 03 04:00:00 CET 2012","-8.0","NE","3.0"
"Fri Feb 03 07:00:00 CET 2012","-9.0","NNE","1.0"
"Fri Feb 03 10:00:00 CET 2012","-7.0","NE","2.0"
"Fri Feb 03 13:00:00 CET 2012","-2.0","SW","3.0"
"Fri Feb 03 16:00:00 CET 2012","-3.0","WSW","4.0"
"Fri Feb 03 19:00:00 CET 2012","-4.0","SE","4.0"
"Fri Feb 03 22:00:00 CET 2012","-6.0","East","3.0"
"Sat Feb 04 01:00:00 CET 2012","-8.0","East","4.0"
"Sat Feb 04 07:00:00 CET 2012","-11.0","ENE","1.0"
"Sat Feb 04 10:00:00 CET 2012","-10.0","North","1.0"
"Sat Feb 04 13:00:00 CET 2012","-7.0","SW","2.0"
"Sat Feb 04 16:00:00 CET 2012","-6.0","ESE","2.0"
"Sat Feb 04 19:00:00 CET 2012","-7.0","SE","2.0"
"Sat Feb 04 22:00:00 CET 2012","-8.0","SE","5.0"
"Sun Feb 05 01:00:00 CET 2012","-8.0","SE","3.0"
"Sun Feb 05 04:00:00 CET 2012","-6.0","SSE","4.0"
"Sun Feb 05 07:00:00 CET 2012","-6.0","SSE","3.0"
"Sun Feb 05 10:00:00 CET 2012","-6.0","SE","4.0"
"Sun Feb 05 13:00:00 CET 2012","-4.0","SE","4.0"
"Sun Feb 05 16:00:00 CET 2012","-4.0","SE","4.0"
"Sun Feb 05 19:00:00 CET 2012","-4.0","SE","3.0"
"Sun Feb 05 22:00:00 CET 2012","-4.0","ESE","2.0"
"Mon Feb 06 01:00:00 CET 2012","-4.0","SE","2.0"
"Mon Feb 06 07:00:00 CET 2012","-4.0","ESE","1.0"
"Mon Feb 06 10:00:00 CET 2012","-5.0","ESE","2.0"
"Mon Feb 06 13:00:00 CET 2012","-1.0","SE","2.0"
"Mon Feb 06 16:00:00 CET 2012","-1.0","NNE","2.0"
"Mon Feb 06 19:00:00 CET 2012","-4.0","NE","2.0"
"Mon Feb 06 22:00:00 CET 2012","-5.0","East","3.0"
"Tue Feb 07 01:00:00 CET 2012","-8.0","NE","2.0"
"Tue Feb 07 04:00:00 CET 2012","-10.0","NE","2.0"
"Tue Feb 07 07:00:00 CET 2012","-10.0","NE","2.0"
"Tue Feb 07 10:00:00 CET 2012","-10.0","NE","2.0"
"Tue Feb 07 13:00:00 CET 2012","-7.0","NE","4.0"
"Tue Feb 07 16:00:00 CET 2012","-6.0","NE","4.0"
"Tue Feb 07 19:00:00 CET 2012","-6.0","NE","3.0"
"Tue Feb 07 22:00:00 CET 2012","-5.0","NE","4.0"
"Wed Feb 08 01:00:00 CET 2012","-5.0","NE","3.0"
"Wed Feb 08 07:00:00 CET 2012","-4.0","NE","3.0"
"Wed Feb 08 10:00:00 CET 2012","-3.0","ENE","4.0"
"Wed Feb 08 13:00:00 CET 2012","-2.0","ENE","5.0"
"Wed Feb 08 16:00:00 CET 2012","-2.0","NE","3.0"
